cell_id,model_key,model_id,task_id,modality,language,structure_complexity,volume,context_tier,schema_variant,retry_policy,cache_mode,cache_group_id,warmup_request_index,is_warmup_request,stable_prefix_hash,schema_hash,prompt_template_hash,dynamic_input_hash,repeat_group_id,same_input_hash,cache_hit_inferred,cache_hit_reported,kv_reuse_proven,session_id,session_request_index,session_request_count,load_scope,cleanup_scope,loaded_before_session,loaded_after_session_load,final_loaded_instances,session_cleanup_verified,execution_target,resource_telemetry_mode,resource_telemetry_status,resource_ram_required,resource_vram_required,repeat_index,status,hard_fail,warning_count,warning_category,json_parse_status,json_schema_status,business_status,id_exact_status,language_status,image_ground_truth_status,finish_reason_length_status,missing_id_count,unexpected_id_count,duplicate_id_count,order_mismatch,first_mismatch_index,placeholder_hit_count,cleanup_noop_status,cleanup_noop_detected,source_noise_present,cleanup_noop_similarity,identity_similarity,changed_char_ratio,punctuation_delta,capitalization_delta,whitespace_normalization_delta,asr_noise_reduction_delta,near_identity_warning,term_language_drift_status,term_language_drift_detected,term_language_cyrillic_delta,markdown_fence_count,finish_reason,retry_count,retry_recovered,error_category,length_ratio_status,length_ratio_category,length_ratio_actual,length_ratio_policy,length_ratio_policy_min,length_ratio_policy_max,input_char_count,latency_ms,ttft_ms,prompt_processing_ms,total_latency_ms,tokens_per_sec,prompt_tokens,completion_tokens,response_char_count,ram_before_mb,ram_peak_mb,ram_after_mb,vram_before_mb,vram_peak_mb,vram_after_mb
cell_5447e8a0b62d,gemma4_e2b,google/gemma-4-e2b,l326_transcript_cleanup_simple_01_short_noisy_dictation,text,ru_ru,simple,single,8192,hardened_const,off,none,cache_c4797eb38afd0d32,,False,eb8ead2de02d409f821914ae69df0ea2bd09df0a3ead60348bed56a0c6a21d4f,6bf50d76dff49160514eeab40bfb11a3b973bcc39dc22eb1b2a451d092266cfb,8f0417a1b59e35d0c45e5d747448ae096f1f492b4de2a439ddf8c93148812923,9ef4d90b8d49b5f70740898c34af2a631e3e590cc255909fd5341753f71478ec,repeat_7bdc0637c48b4c58,7eb0a7cf451b738099cc44a17f782d69c4ca602f6af0ff0bd05d8b8babce17bc,unknown,unknown,False,session_92d6b0f03129efad,1,1,per_request,per_request,0,1,0,True,live_small,timing_only,timing_only,False,False,0,pass,False,2,punctuation_metrics,pass,pass,pass,skip,pass,skip,pass,,,,,,0,pass,False,True,0.907,0.907,0.093,2,1,0,4,False,skip,,,0,stop,0,False,,skip,,,,,,1488,2744.718,,,2744.718,16.0308,363,44,136,,,,,,
cell_e011f0698987,gemma4_e2b,google/gemma-4-e2b,l326_transcript_cleanup_simple_01_short_noisy_dictation,text,ru_ru,simple,single,8192,hardened_const,off,none,cache_c4797eb38afd0d32,,False,eb8ead2de02d409f821914ae69df0ea2bd09df0a3ead60348bed56a0c6a21d4f,6bf50d76dff49160514eeab40bfb11a3b973bcc39dc22eb1b2a451d092266cfb,8f0417a1b59e35d0c45e5d747448ae096f1f492b4de2a439ddf8c93148812923,9ef4d90b8d49b5f70740898c34af2a631e3e590cc255909fd5341753f71478ec,repeat_7bdc0637c48b4c58,7eb0a7cf451b738099cc44a17f782d69c4ca602f6af0ff0bd05d8b8babce17bc,unknown,unknown,False,session_006698e53adf5084,1,1,per_request,per_request,0,1,0,True,live_small,timing_only,timing_only,False,False,1,pass,False,2,punctuation_metrics,pass,pass,pass,skip,pass,skip,pass,,,,,,0,pass,False,True,0.907,0.907,0.093,2,1,0,4,False,skip,,,0,stop,0,False,,skip,,,,,,1488,2762.887,,,2762.887,15.9254,363,44,136,,,,,,
cell_f380d78c00b5,gemma4_e2b,google/gemma-4-e2b,l326_transcript_cleanup_simple_01_short_noisy_dictation,text,ru_ru,simple,single,8192,hardened_const,off,none,cache_c4797eb38afd0d32,,False,eb8ead2de02d409f821914ae69df0ea2bd09df0a3ead60348bed56a0c6a21d4f,6bf50d76dff49160514eeab40bfb11a3b973bcc39dc22eb1b2a451d092266cfb,8f0417a1b59e35d0c45e5d747448ae096f1f492b4de2a439ddf8c93148812923,9ef4d90b8d49b5f70740898c34af2a631e3e590cc255909fd5341753f71478ec,repeat_7bdc0637c48b4c58,7eb0a7cf451b738099cc44a17f782d69c4ca602f6af0ff0bd05d8b8babce17bc,unknown,unknown,False,session_c91be49a5b282da8,1,1,per_request,per_request,0,1,0,True,live_small,timing_only,timing_only,False,False,2,pass,False,2,punctuation_metrics,pass,pass,pass,skip,pass,skip,pass,,,,,,0,pass,False,True,0.907,0.907,0.093,2,1,0,4,False,skip,,,0,stop,0,False,,skip,,,,,,1488,2353.0,,,2353.0,18.6995,363,44,136,,,,,,
cell_b091941d5d29,gemma4_e2b,google/gemma-4-e2b,l326_transcript_cleanup_simple_02_technical_django_qwen_embedding,text,ru_ru,simple,single,8192,hardened_const,off,none,cache_9360b3440e3f3ff2,,False,b2138dd62804e418b61c48a30ea5aa4858916c85bacbe2a2eec8c7c71e10c03b,6bf50d76dff49160514eeab40bfb11a3b973bcc39dc22eb1b2a451d092266cfb,570ad1460b38b9dd4763340b03eb70d03fcf39fbb49611140031a71a16c111ff,69dc23393199f1a91aff27ab1cc9e66fc179c499e40e342c199910f18e4f2b1b,repeat_dafd25c4e05f58a0,b483e1978e5ebf883408a3c2a76c00dbe2225509d3497873f98ebf1c9d6ebc6f,unknown,unknown,False,session_3eab062821f8fd0a,1,1,per_request,per_request,0,1,0,True,live_small,timing_only,timing_only,False,False,0,pass,False,2,punctuation_metrics,pass,pass,pass,skip,pass,skip,pass,,,,,,0,pass,False,True,0.9305,0.9305,0.0695,1,3,0,1,False,skip,,,0,stop,0,False,,skip,,,,,,1489,2717.838,,,2717.838,15.4535,362,42,148,,,,,,
cell_850ef2d71ef7,gemma4_e2b,google/gemma-4-e2b,l326_transcript_cleanup_simple_02_technical_django_qwen_embedding,text,ru_ru,simple,single,8192,hardened_const,off,none,cache_9360b3440e3f3ff2,,False,b2138dd62804e418b61c48a30ea5aa4858916c85bacbe2a2eec8c7c71e10c03b,6bf50d76dff49160514eeab40bfb11a3b973bcc39dc22eb1b2a451d092266cfb,570ad1460b38b9dd4763340b03eb70d03fcf39fbb49611140031a71a16c111ff,69dc23393199f1a91aff27ab1cc9e66fc179c499e40e342c199910f18e4f2b1b,repeat_dafd25c4e05f58a0,b483e1978e5ebf883408a3c2a76c00dbe2225509d3497873f98ebf1c9d6ebc6f,unknown,unknown,False,session_76e042658f02890c,1,1,per_request,per_request,0,1,0,True,live_small,timing_only,timing_only,False,False,1,pass,False,2,punctuation_metrics,pass,pass,pass,skip,pass,skip,pass,,,,,,0,pass,False,True,0.9305,0.9305,0.0695,1,3,0,1,False,skip,,,0,stop,0,False,,skip,,,,,,1489,2733.429,,,2733.429,15.3653,362,42,148,,,,,,
cell_2eeeeb6f2469,gemma4_e2b,google/gemma-4-e2b,l326_transcript_cleanup_simple_02_technical_django_qwen_embedding,text,ru_ru,simple,single,8192,hardened_const,off,none,cache_9360b3440e3f3ff2,,False,b2138dd62804e418b61c48a30ea5aa4858916c85bacbe2a2eec8c7c71e10c03b,6bf50d76dff49160514eeab40bfb11a3b973bcc39dc22eb1b2a451d092266cfb,570ad1460b38b9dd4763340b03eb70d03fcf39fbb49611140031a71a16c111ff,69dc23393199f1a91aff27ab1cc9e66fc179c499e40e342c199910f18e4f2b1b,repeat_dafd25c4e05f58a0,b483e1978e5ebf883408a3c2a76c00dbe2225509d3497873f98ebf1c9d6ebc6f,unknown,unknown,False,session_cc08619956858a64,1,1,per_request,per_request,0,1,0,True,live_small,timing_only,timing_only,False,False,2,pass,False,2,punctuation_metrics,pass,pass,pass,skip,pass,skip,pass,,,,,,0,pass,False,True,0.9305,0.9305,0.0695,1,3,0,1,False,skip,,,0,stop,0,False,,skip,,,,,,1489,1778.07,,,1778.07,23.6211,362,42,148,,,,,,
cell_cd3a94600fbc,gemma4_e2b,google/gemma-4-e2b,l326_transcript_cleanup_simple_03_python_lesson_fragment,text,ru_ru,simple,single,8192,hardened_const,off,none,cache_144b3f47b7c8657c,,False,0eafa4856e18680ed3d41328ac343a060908df67d8fe7bf7085004471e664511,6bf50d76dff49160514eeab40bfb11a3b973bcc39dc22eb1b2a451d092266cfb,f44afbbfc1b6a691ea71b41440c5de8a6fc2e3ee8eeb19519ced91e03cac90d2,506b163e3e2e017eb80db3b7c872221028bf406034ea7a6853d58d597b5cdaef,repeat_e3cb4868f7fe6e5b,74d34c3ee9d1630f0030659ff02ccd98cbad7309603069a9b4fc958a84c090cd,unknown,unknown,False,session_2d3c66d3be57dc7c,1,1,per_request,per_request,0,1,0,True,live_small,timing_only,timing_only,False,False,0,pass,False,2,punctuation_metrics,pass,pass,pass,skip,pass,skip,pass,,,,,,0,pass,False,True,0.9948,0.9948,0.0052,1,0,0,1,False,skip,,,0,stop,0,False,,skip,,,,,,1491,2896.232,,,2896.232,15.5374,360,45,152,,,,,,
cell_1e0c10d006b7,gemma4_e2b,google/gemma-4-e2b,l326_transcript_cleanup_simple_03_python_lesson_fragment,text,ru_ru,simple,single,8192,hardened_const,off,none,cache_144b3f47b7c8657c,,False,0eafa4856e18680ed3d41328ac343a060908df67d8fe7bf7085004471e664511,6bf50d76dff49160514eeab40bfb11a3b973bcc39dc22eb1b2a451d092266cfb,f44afbbfc1b6a691ea71b41440c5de8a6fc2e3ee8eeb19519ced91e03cac90d2,506b163e3e2e017eb80db3b7c872221028bf406034ea7a6853d58d597b5cdaef,repeat_e3cb4868f7fe6e5b,74d34c3ee9d1630f0030659ff02ccd98cbad7309603069a9b4fc958a84c090cd,unknown,unknown,False,session_a5b2d2beded05ef1,1,1,per_request,per_request,0,1,0,True,live_small,timing_only,timing_only,False,False,1,pass,False,2,punctuation_metrics,pass,pass,pass,skip,pass,skip,pass,,,,,,0,pass,False,True,0.9948,0.9948,0.0052,1,0,0,1,False,skip,,,0,stop,0,False,,skip,,,,,,1491,2877.951,,,2877.951,15.6361,360,45,152,,,,,,
cell_26f0fe8fd848,gemma4_e2b,google/gemma-4-e2b,l326_transcript_cleanup_simple_03_python_lesson_fragment,text,ru_ru,simple,single,8192,hardened_const,off,none,cache_144b3f47b7c8657c,,False,0eafa4856e18680ed3d41328ac343a060908df67d8fe7bf7085004471e664511,6bf50d76dff49160514eeab40bfb11a3b973bcc39dc22eb1b2a451d092266cfb,f44afbbfc1b6a691ea71b41440c5de8a6fc2e3ee8eeb19519ced91e03cac90d2,506b163e3e2e017eb80db3b7c872221028bf406034ea7a6853d58d597b5cdaef,repeat_e3cb4868f7fe6e5b,74d34c3ee9d1630f0030659ff02ccd98cbad7309603069a9b4fc958a84c090cd,unknown,unknown,False,session_e0a11da2fc6bb920,1,1,per_request,per_request,0,1,0,True,live_small,timing_only,timing_only,False,False,2,pass,False,2,punctuation_metrics,pass,pass,pass,skip,pass,skip,pass,,,,,,0,pass,False,True,0.9948,0.9948,0.0052,1,0,0,1,False,skip,,,0,stop,0,False,,skip,,,,,,1491,2852.301,,,2852.301,15.7767,360,45,152,,,,,,
cell_14403da82f28,gemma4_e2b,google/gemma-4-e2b,l326_transcript_cleanup_simple_04_bug_explanation,text,ru_ru,simple,single,8192,hardened_const,off,none,cache_9ab87037faae6dc0,,False,ddb83f4461386dd4e8dc9f47ca675058ae1f6d74ee07666850d60eac8bf19a64,6bf50d76dff49160514eeab40bfb11a3b973bcc39dc22eb1b2a451d092266cfb,6224defb003805627f80fa578a3a3f6b2634628d0b6d5e1b84362abec10d592b,ca9e1916f431e1c847be79f58127c284dda01ba162075b8b34f3bc821ceb8704,repeat_3dc8fae78ed57e2e,3ab7c60c39affff691e13fae1f512417f279524596b3918a0a853a09a64a7253,unknown,unknown,False,session_2c2e7e48a2074ab9,1,1,per_request,per_request,0,1,0,True,live_small,timing_only,timing_only,False,False,0,pass,False,2,punctuation_metrics,pass,pass,pass,skip,pass,skip,pass,,,,,,0,pass,False,True,0.9894,0.9894,0.0106,2,1,0,2,False,skip,,,0,stop,0,False,,skip,,,,,,1489,2673.442,,,2673.442,16.8322,361,45,151,,,,,,
